Date	Close	Change	% Change
01/03/05	0.146366		
01/04/05	0.147864	0.00149821	1.02360367
01/05/05	0.147963	9.845E-05	0.06658126
01/06/05	0.149097	0.00113397	0.766388164
01/07/05	0.148940	-0.00015708	-0.105354338
01/10/05	0.147721	-0.00121854	-0.818142797
01/11/05	0.146904	-0.00081734	-0.55329894
01/12/05	0.144530	-0.00237419	-1.616151894
01/13/05	0.145196	0.00066628	0.460998674
01/14/05	0.146970	0.00177437	1.22205174
01/17/05	0.146730	-0.00023988	-0.163216594
01/18/05	0.147723	0.00099253	0.676430737
01/19/05	0.148307	0.00058425	0.395503747
01/20/05	0.149012	0.00070502	0.475377974
01/21/05	0.148217	-0.00079565	-0.533949318
01/24/05	0.147727	-0.00048934	-0.330151909
01/25/05	0.149755	0.00202805	1.372833779
01/26/05	0.148463	-0.00129281	-0.86328146
01/27/05	0.149465	0.00100285	0.675490353
01/28/05	0.150166	0.00070077	0.468851079
01/31/05	0.149914	-0.00025192	-0.167760855
02/01/05	0.150094	0.00017942	0.119681775
02/02/05	0.149840	-0.00025373	-0.169047802
02/03/05	0.150202	0.00036247	0.241904844
02/04/05	0.150831	0.00062829	0.418295636
02/07/05	0.151582	0.00075095	0.497876195
02/08/05	0.151084	-0.00049721	-0.328014703
02/09/05	0.150897	-0.00018728	-0.123957197
02/10/05	0.149834	-0.00106326	-0.704625727
02/11/05	0.149828	-6.05E-06	-0.004037805
02/14/05	0.149290	-0.00053766	-0.358851914
02/15/05	0.149332	4.229E-05	0.028327386
02/16/05	0.150160	0.00082765	0.554233189
02/17/05	0.148686	-0.00147405	-0.98165225
02/18/05	0.148561	-0.00012508	-0.084123561
02/21/05	0.148996	0.00043498	0.292795611
02/22/05	0.148783	-0.00021325	-0.143124696
02/23/05	0.150317	0.00153446	1.031343026
02/24/05	0.150692	0.00037456	0.249179801
02/25/05	0.149689	-0.00100285	-0.665497746
02/28/05	0.148517	-0.00117197	-0.782937302
03/01/05	0.150120	0.00160272	1.079149915
03/02/05	0.150009	-0.00011055	-0.073641274
03/03/05	0.150643	0.00063433	0.422861098
03/04/05	0.148688	-0.00195556	-1.298138518
03/07/05	0.148982	0.00029422	0.197877648
03/08/05	0.146856	-0.0021265	-1.427353065
03/09/05	0.145998	-0.00085786	-0.584152211
03/10/05	0.145508	-0.00048932	-0.335155965
03/11/05	0.145436	-7.251E-05	-0.049832181
03/14/05	0.145786	0.00035039	0.240924058
03/15/05	0.145514	-0.00027185	-0.186471619
03/16/05	0.145250	-0.00026406	-0.181466564
03/17/05	0.145085	-0.00016487	-0.113507472
03/18/05	0.145613	0.00052736	0.363482273
03/21/05	0.146402	0.00078962	0.542273607
03/22/05	0.145122	-0.00128072	-0.874794044
03/23/05	0.146656	0.00153446	1.057360531
03/24/05	0.146988	0.00033227	0.226563896
03/25/05	0.146988	0	0
03/28/05	0.147745	0.00075693	0.514958758
03/29/05	0.146522	-0.00122388	-0.828370968
03/30/05	0.146982	0.00046091	0.314568126
03/31/05	0.146181	-0.00080173	-0.545459753
04/01/05	0.146753	0.00057215	0.391399138
04/04/05	0.147597	0.000844	0.575116599
04/05/05	0.147429	-0.00016738	-0.113403504
04/06/05	0.147909	0.00047904	0.324928252
04/07/05	0.147425	-0.00048329	-0.326749286
04/08/05	0.148482	0.00105721	0.717116108
04/11/05	0.149042	0.00056004	0.377175939
04/12/05	0.149828	0.00078535	0.526930344
04/13/05	0.149604	-0.00022352	-0.149184577
04/14/05	0.150089	0.00048511	0.32426207
04/15/05	0.149894	-0.00019513	-0.130009173
04/18/05	0.150724	0.00082948	0.553376687
04/19/05	0.150120	-0.00060414	-0.400825988
04/20/05	0.149852	-0.00026762	-0.178271168
04/21/05	0.149503	-0.00034859	-0.232622855
04/22/05	0.149044	-0.00045913	-0.307103363
04/25/05	0.149683	0.00063855	0.428429726
04/26/05	0.150641	0.00095815	0.640120179
04/27/05	0.150518	-0.00012264	-0.08141211
04/28/05	0.151109	0.00059024	0.39213826
04/29/05	0.151630	0.00052137	0.345030044
05/02/05	0.151924	0.00029418	0.194011803
05/03/05	0.151670	-0.00025373	-0.167010994
05/04/05	0.150927	-0.00074306	-0.489917611
05/05/05	0.150378	-0.00054975	-0.364248121
05/06/05	0.150353	-2.417E-05	-0.016072874
05/09/05	0.149532	-0.00082161	-0.546452485
05/10/05	0.149431	-0.00010089	-0.067470594
05/11/05	0.150891	0.00146016	0.977147166
05/12/05	0.150990	9.848E-05	0.065265621
05/13/05	0.152540	0.00155078	1.027077634
05/16/05	0.153539	0.00099865	0.65467928
05/17/05	0.153350	-0.00018914	-0.123186951
05/18/05	0.152486	-0.00086388	-0.563339319
05/19/05	0.152669	0.00018307	0.120056947
05/20/05	0.152687	1.812E-05	0.011868811
05/23/05	0.151847	-0.00083974	-0.549974209
05/24/05	0.152166	0.00031835	0.209651241
05/25/05	0.152951	0.00078537	0.516127904
05/26/05	0.153066	0.00011478	0.075043573
05/27/05	0.152494	-0.00057209	-0.373754001
05/30/05	0.151722	-0.00077146	-0.505895878
05/31/05	0.151528	-0.00019458	-0.128247403
06/01/05	0.150492	-0.00103542	-0.683320202
06/02/05	0.150706	0.00021327	0.141714826
06/03/05	0.150603	-0.00010272	-0.06815936
06/06/05	0.150275	-0.00032805	-0.217824462
06/07/05	0.150959	0.00068449	0.455491993
06/08/05	0.150440	-0.00051955	-0.344165476
06/09/05	0.151908	0.00146802	0.975818834
06/10/05	0.150939	-0.00096841	-0.637498409
06/13/05	0.152053	0.00111341	0.737653557
06/14/05	0.151847	-0.00020541	-0.135091205
06/15/05	0.149810	-0.00203772	-1.341952336
06/16/05	0.149616	-0.00019331	-0.129037038
06/17/05	0.149157	-0.00045912	-0.306864776
06/20/05	0.148867	-0.00028999	-0.194418951
06/21/05	0.148904	3.624E-05	0.024343832
06/22/05	0.149326	0.00042289	0.284002688
06/23/05	0.149038	-0.00028817	-0.192979929
06/24/05	0.148970	-6.826E-05	-0.045800326
06/27/05	0.148650	-0.00032018	-0.214929209
06/28/05	0.148803	0.00015282	0.102805386
06/29/05	0.148185	-0.00061799	-0.415308548
06/30/05	0.147987	-0.00019758	-0.133333666
07/01/05	0.149920	0.00193322	1.306344035
07/04/05	0.150108	0.00018726	0.124906392
07/05/05	0.150573	0.00046519	0.309904506
07/06/05	0.149302	-0.00127048	-0.843765059
07/07/05	0.148819	-0.0004833	-0.323705793
07/08/05	0.147297	-0.00152238	-1.022974629
07/11/05	0.146886	-0.00041079	-0.27888635
07/12/05	0.145587	-0.00129886	-0.884265372
07/13/05	0.145836	0.00024946	0.171347822
07/14/05	0.146179	0.00034258	0.234907109
07/15/05	0.147113	0.00093388	0.638860794
07/18/05	0.147043	-6.999E-05	-0.047575728
07/19/05	0.147212	0.00016914	0.115027702
07/20/05	0.147673	0.00046092	0.313099518
07/21/05	0.150025	0.00235177	1.592553542
07/22/05	0.149764	-0.00026077	-0.173818079
07/25/05	0.150289	0.00052525	0.350718698
07/26/05	0.151697	0.00140815	0.936960519
07/27/05	0.152450	0.00075314	0.496475547
07/28/05	0.152485	3.476E-05	0.022800853
07/29/05	0.151247	-0.00123792	-0.811829607
08/01/05	0.149662	-0.00158537	-1.048197363
08/02/05	0.149169	-0.00049245	-0.329041638
08/03/05	0.149702	0.0005326	0.357043593
08/04/05	0.149419	-0.00028272	-0.188855117
08/05/05	0.150296	0.00087622	0.586416725
08/08/05	0.149519	-0.0007765	-0.516648662
08/09/05	0.149877	0.00035758	0.239153456
08/10/05	0.149534	-0.00034295	-0.228821516
08/11/05	0.148212	-0.0013213	-0.883613586
08/12/05	0.147431	-0.00078093	-0.526899269
08/15/05	0.148090	0.00065859	0.446709271
08/16/05	0.148046	-4.432E-05	-0.029927737
08/17/05	0.149135	0.00108943	0.735873976
08/18/05	0.150610	0.00147527	0.989216761
08/19/05	0.149969	-0.00064188	-0.426185623
08/22/05	0.148700	-0.00126889	-0.846104066
08/23/05	0.147886	-0.00081416	-0.547519746
08/24/05	0.147701	-0.00018474	-0.124920969
08/25/05	0.146719	-0.00098216	-0.664966111
08/26/05	0.147502	0.00078339	0.533940482
08/29/05	0.147683	0.00018065	0.122472924
08/30/05	0.147370	-0.00031253	-0.211622707
08/31/05	0.146683	-0.00068748	-0.466498939
09/01/05	0.146500	-0.000183	-0.124759148
09/02/05	0.146809	0.00030953	0.21128381
09/05/05	0.147023	0.00021368	0.145549501
09/06/05	0.146614	-0.00040857	-0.277895598
09/07/05	0.146407	-0.0002071	-0.141255009
09/08/05	0.146007	-0.00040062	-0.27363414
09/09/05	0.144912	-0.0010945	-0.749623904
09/12/05	0.146526	0.00161433	1.114006737
09/13/05	0.145713	-0.00081351	-0.555196955
09/14/05	0.145912	0.00019875	0.136398384
09/15/05	0.147038	0.00112684	0.77227571
09/16/05	0.146270	-0.00076848	-0.522638771
09/19/05	0.144841	-0.00142905	-0.976994733
09/20/05	0.144523	-0.0003175	-0.219205994
09/21/05	0.144286	-0.00023705	-0.164021848
09/22/05	0.144317	3.058E-05	0.021193962
09/23/05	0.145001	0.00068366	0.473721176
09/26/05	0.145164	0.00016366	0.112868483
09/27/05	0.145681	0.00051665	0.355907114
09/28/05	0.145980	0.00029938	0.205503905
09/29/05	0.144755	-0.0012256	-0.839565281
09/30/05	0.143426	-0.00132911	-0.918180832
10/03/05	0.143827	0.00040163	0.280026718
10/04/05	0.144890	0.00106278	0.738928227
10/05/05	0.145978	0.0010875	0.750569346
10/06/05	0.146237	0.00025952	0.17778081
10/07/05	0.145007	-0.00122961	-0.840833543
10/10/05	0.145108	0.00010042	0.069251629
10/11/05	0.145495	0.00038726	0.266877379
10/12/05	0.144749	-0.00074573	-0.512546471
10/13/05	0.146220	0.00147058	1.015949154
10/14/05	0.146719	0.0004993	0.341471872
10/17/05	0.145740	-0.00097943	-0.667553849
10/18/05	0.146237	0.00049675	0.340847134
10/19/05	0.145315	-0.00092119	-0.62993135
10/20/05	0.145090	-0.00022546	-0.155152194
10/21/05	0.146399	0.00130929	0.902399009
10/24/05	0.147035	0.00063597	0.434408082
10/25/05	0.145536	-0.00149929	-1.01968114
10/26/05	0.144558	-0.00097755	-0.671689987
10/27/05	0.144561	2.76E-06	0.001909264
10/28/05	0.145578	0.00101658	0.703218224
10/31/05	0.145903	0.00032497	0.223227901
11/01/05	0.145956	5.331E-05	0.036538062
11/02/05	0.146028	7.192E-05	0.049275138
11/03/05	0.145879	-0.00014894	-0.101994222
11/04/05	0.145580	-0.00029915	-0.205067298
11/07/05	0.147131	0.00155104	1.065422611
11/08/05	0.147198	6.765E-05	0.045979486
11/09/05	0.146926	-0.00027243	-0.185076639
11/10/05	0.146901	-2.511E-05	-0.01709023
11/11/05	0.147280	0.00037941	0.258276087
11/14/05	0.147988	0.00070743	0.480328842
11/15/05	0.147863	-0.00012458	-0.084182626
11/16/05	0.147523	-0.00034047	-0.230260132
11/17/05	0.146837	-0.0006862	-0.465148659
11/18/05	0.147374	0.00053703	0.365733241
11/21/05	0.146326	-0.00104716	-0.710548079
11/22/05	0.145648	-0.00067889	-0.463955923
11/23/05	0.144953	-0.00069478	-0.477028409
11/24/05	0.144954	1.19E-06	0.000820957
11/25/05	0.144509	-0.00044486	-0.30689753
11/28/05	0.144429	-7.973E-05	-0.055173011
11/29/05	0.144710	0.00028079	0.19441342
11/30/05	0.144615	-9.475E-05	-0.065475725
12/01/05	0.144793	0.00017781	0.122953736
12/02/05	0.143981	-0.00081253	-0.561165933
12/05/05	0.143321	-0.00065945	-0.458012934
12/06/05	0.143173	-0.00014838	-0.103529694
12/07/05	0.143436	0.00026357	0.184092204
12/08/05	0.143359	-7.789E-05	-0.054302817
12/09/05	0.143391	3.283E-05	0.02290063
12/12/05	0.142714	-0.00067746	-0.472455343
12/13/05	0.142568	-0.00014597	-0.102281579
12/14/05	0.142571	2.63E-06	0.001844735
12/15/05	0.143399	0.00082802	0.580779212
12/16/05	0.143259	-0.00013974	-0.097448684
12/19/05	0.143875	0.00061584	0.429879321
12/20/05	0.145250	0.00137552	0.956054454
12/21/05	0.145180	-6.971E-05	-0.047993059
12/22/05	0.144667	-0.00051318	-0.353477321
12/23/05	0.144486	-0.000181	-0.125114677
12/26/05	0.144486	0	0
12/27/05	0.145300	0.00081344	0.562987711
12/28/05	0.144014	-0.00128609	-0.885129028
12/29/05	0.144358	0.0003445	0.239213469
12/30/05	0.144749	0.00039045	0.270473163
01/02/06	0.144749	0	0
01/03/06	0.143144	-0.00160466	-1.108584278
01/04/06	0.142614	-0.00053026	-0.370438367
01/05/06	0.144141	0.0015276	1.071145639
01/06/06	0.144524	0.00038321	0.265857257
01/09/06	0.145131	0.00060642	0.419596764
01/10/06	0.144445	-0.00068589	-0.472600974
01/11/06	0.143917	-0.00052814	-0.365633978
01/12/06	0.144237	0.00032	0.222350599
01/13/06	0.143983	-0.00025362	-0.175835775
01/16/06	0.143652	-0.00033088	-0.229804524
01/17/06	0.144443	0.00079072	0.550439965
01/18/06	0.145287	0.00084417	0.584430905
01/19/06	0.144974	-0.00031311	-0.215510996
01/20/06	0.142970	-0.00200444	-1.382618997
01/23/06	0.142609	-0.00036055	-0.252186302
01/24/06	0.143474	0.00086468	0.606328556
01/25/06	0.142553	-0.00092058	-0.641636179
01/26/06	0.142502	-5.14E-05	-0.036056702
01/27/06	0.142416	-8.594E-05	-0.060307989
01/30/06	0.142106	-0.00031012	-0.217756569
01/31/06	0.141820	-0.0002853	-0.200765922
02/01/06	0.141541	-0.00027911	-0.19680513
02/02/06	0.141889	0.00034733	0.245391136
02/03/06	0.142317	0.00042796	0.301616668
02/06/06	0.142269	-4.742E-05	-0.03332006
02/07/06	0.142858	0.00058878	0.413849092
02/08/06	0.143199	0.00034141	0.238985516
02/09/06	0.142282	-0.00091701	-0.640372616
02/10/06	0.143382	0.00109997	0.77308913
